Title;Author;Rating
Sofia Khan is Not Obliged;Ayisha Malik;4
Hidden Figures: The Untold Story of the African American Women Who Helped Win the Space Race;Margot Lee Shetterly;4
Six of Crows (Six of Crows, #1);Leigh Bardugo;4
Harriet's Daughter;M. NourbeSe Philip;4
Allegedly;Tiffany D. Jackson;4
Homegoing;Yaa Gyasi;5
The Underground Railroad;Colson Whitehead;4
A Darker Shade of Magic (Shades of Magic, #1);V.E. Schwab;4
Caraval (Caraval, #1);Stephanie Garber;4
The Ruby Circle (Bloodlines, #6);Richelle Mead;4
Fallout (Lois Lane, #1);Gwenda Bond;3
A Gathering of Shadows (Shades of Magic, #2);V.E. Schwab;4
The Outsiders;S.E. Hinton;3
My Lady Jane (The Lady Janies, #1);Cynthia Hand;5
Three Dark Crowns (Three Dark Crowns, #1);Kendare Blake;4
The Princess Saves Herself in this One (Women are Some Kind of Magic, #1);Amanda Lovelace;0
Of Fire and Stars (Of Fire and Stars, #1);Audrey Coulthurst;3
By Your Side;Kasie West;4
Heartless;Marissa Meyer;3
We Should Hang Out Sometime: Embarrassingly, a True Story;Josh Sundquist;4
Empress of a Thousand Skies (Empress of a Thousand Skies, #1);Rhoda Belleza;3
The Hate U Give;Angie Thomas;5
When We Collided;Emery Lord;3
Mockingbird, Vol. 1: I Can Explain;Chelsea Cain;4
To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1);Jenny Han;4
P.S. I Still Love You (To All the Boys I've Loved Before, #2);Jenny Han;4
The Chaos of Longing;K.Y. Robinson;0
salt.;Nayyirah Waheed;0
American Gods (American Gods #1);Neil Gaiman;2
The Other Half of Happiness (Sofia Khan, #2);Ayisha Malik;3
Strange the Dreamer (Strange the Dreamer, #1);Laini Taylor;4
Sean Griswold's Head;Lindsey Leavitt;2
3;Hannah Moskowitz;3
The Keeper's Vow (Guardians #1);Francina Simone;2
Under Rose-Tainted Skies;Louise Gornall;5
Binti (Binti, #1);Nnedi Okorafor;4
Milk and Honey;Rupi Kaur;0
Turtles All the Way Down;John Green;4
Dear Martin;Nic Stone;4
The Bronze Key (Magisterium #3);Holly Black;3
Big Magic: Creative Living Beyond Fear;Elizabeth Gilbert;3
Wife by Wednesday (The Weekday Brides, #1);Catherine Bybee;3
Harry Potter and the Sorcerer's Stone (Harry Potter, #1);J.K. Rowling;0
Always and Forever, Lara Jean (To All the Boys I've Loved Before, #3);Jenny Han;4
Harry Potter and the Chamber of Secrets (Harry Potter, #2);J.K. Rowling;0
The Umbrella Academy: Apocalypse Suite #6;Gerard Way;0
The Umbrella Academy: Apocalypse Suite #5;Gerard Way;0
The Umbrella Academy: Apocalypse Suite #4;Gerard Way;0
Dr. Terminal's Answer (The Umbrella Academy Apocalypse Suite #3);Gerard Way;0
Carry On (Simon Snow, #1);Rainbow Rowell;0
Wayward Son (Simon Snow, #2);Rainbow Rowell;0
The Princess Diaries (The Princess Diaries, #1);Meg Cabot;3
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life;Jen Sincero;3
On the Come Up;Angie Thomas;4
The Secret (The Secret, #1);Rhonda Byrne;0
Muse of Nightmares;Laini Taylor;4
The Austere Academy (A Series of Unfortunate Events, #5);Lemony Snicket;3
The Silver Mask (The Magisterium #4);Holly Black;4
Year of Yes: How to Dance It Out, Stand In the Sun and Be Your Own Person;Shonda Rhimes;4
Mean;Myriam Gurba;0
Scrappy Little Nobody;Anna Kendrick;4
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing (Magic Cleaning #1);Marie Kondō;0
We Should All Be Feminists;Chimamanda Ngozi Adichie;4
Destiny: Step into Your Purpose;T.D. Jakes;3
I Am Not Your Perfect Mexican Daughter;Erika L. Sánchez;5
The Four Tendencies: The Indispensable Personality Profiles That Reveal How to Make Your Life Better (and Other People's Lives Better, Too);Gretchen Rubin;2
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban;Malala Yousafzai;4
Do Over: Rescue Monday, Reinvent Your Work, and Never Get Stuck;Jon Acuff;0
A Princess in Theory (Reluctant Royals #1);Alyssa Cole;4
Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration;Ed Catmull;0
You're Not Lost: An Inspired Action Plan for Finding Your Own Way;Maxie McCoy;0
A Conjuring of Light (Shades of Magic, #3);V.E. Schwab;5
Craft a Life You Love: Infusing Creativity, Fun & Intention into Your Everyday;Amy Tangerine;0
Love Lettering;Kate Clayborn;3
Being Boss: Take Control of Your Work and Live Life on Your Own Terms;Emily   Thompson;4
Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be;Rachel Hollis;0
Loveboat, Taipei (Loveboat, Taipei, #1);Abigail Hing Wen;5
Choose Wonder Over Worry: Move Beyond Fear and Doubt to Unlock Your Full Potential;Amber  Rae;0
How to Be Fine: What We Learned from Living by the Rules of 50 Self-Help Books;Jolenta Greenberg;5
Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed;Lori Gottlieb;5
Crush It!: Why Now Is the Time to Cash In on Your Passion (Audiobook);Gary Vaynerchuk;5
What If It Does Work Out?: How a Side Hustle Can Change Your Life;Susie Moore;4
Crushing It!: How Great Entrepreneurs Build Their Business and Influence—and How You Can, Too;Gary Vaynerchuk;4
Jump: Take the Leap of Faith to Achieve Your Life of Abundance;Steve  Harvey;0
Open Book;Jessica Simpson;4
The Millennial Mind: Success Secrets for Unlocking Your Full Potential;Daniel Martin Francis;0
You Are a Badass at Making Money: Master the Mindset of Wealth;Jen Sincero;3
An Absolutely Remarkable Thing (The Carls, #1);Hank Green;5
The Ballad of Songbirds and Snakes (The Hunger Games, #0);Suzanne Collins;0
Long Way Down;Jason  Reynolds;4
SLAY;Brittney Morris;5
The Total Money Makeover: A Proven Plan for Financial Fitness;Dave Ramsey;0
Everything is Figureoutable: How One Simple Belief Can Help Us Overcome Any Obstacle and Create Unstoppable Success;Marie Forleo;4
The Golden Tower;Holly Black;3
I'll Be the One;Lyla Lee;4
Midnight Sun (Twilight, #5);Stephenie Meyer;1
A Beautifully Foolish Endeavor (The Carls, #2);Hank Green;4
Born a Crime: Stories From a South African Childhood;Trevor Noah;5
Crazy Rich Asians (Crazy Rich Asians, #1);Kevin Kwan;3
China Rich Girlfriend (Crazy Rich Asians, #2);Kevin Kwan;3
Rich People Problems (Crazy Rich Asians, #3);Kevin Kwan;2
The Bookish Life of Nina Hill;Abbi Waxman;3
Ready Player One;Ernest Cline;4
Sex and Vanity;Kevin Kwan;2
Looking for Alaska;John Green;5
Buy Yourself the F*cking Lilies: And Other Rituals to Fix Your Life, from Someone Who's Been There;Tara Schuster;3
Concrete Rose;Angie Thomas;4
The Shadows Between Us;Tricia Levenseller;5
Such a Fun Age;Kiley Reid;3
Unfinished: A Memoir;Priyanka Chopra;4
